가구원수,가구형태,주거점유형태,주거면적,부채규모,수급여부,총소득,인당_주거면적,소득_대비_부채비율,면적당_소득
1.0,1.0,2.0,50.0,0.0,0,330.0,50.0,0.0,6.470588235294118
2.0,5.0,1.0,82.0,3500.0,0,3854.0,41.0,0.9079118028534371,46.433734939759034
4.0,5.0,1.0,106.0,19628.0,0,11040.0,26.5,1.7777375237750204,103.17757009345794
2.0,5.0,3.0,66.0,3160.0,0,5040.0,33.0,0.6268597500495934,75.22388059701493
1.0,1.0,3.0,53.0,0.0,0,2141.0,53.0,0.0,39.648148148148145
2.0,5.0,5.0,33.0,52000.0,0,720.0,16.5,72.12205270457697,21.176470588235293
1.0,1.0,3.0,59.0,0.0,1,0.0,59.0,0.0,0.0
1.0,1.0,3.0,50.0,0.0,0,0.0,50.0,0.0,0.0
1.0,1.0,3.0,43.0,0.0,1,1560.0,43.0,0.0,35.45454545454545
4.0,5.0,3.0,99.0,0.0,0,7148.0,24.75,0.0,71.48
3.0,5.0,1.0,53.0,7567.0,0,4748.0,17.666666666666668,1.5933880817014108,87.92592592592592
3.0,5.0,2.0,46.0,1300.0,0,7570.0,15.333333333333334,0.17170783251882182,161.06382978723406
1.0,1.0,1.0,59.0,0.0,0,960.0,59.0,0.0,16.0
2.0,5.0,5.0,82.0,2448.0,0,4800.0,41.0,0.5098937721308061,57.83132530120482
1.0,1.0,1.0,75.0,6900.0,0,4340.0,75.0,1.5894955079474775,57.10526315789474
3.0,5.0,1.0,79.0,23000.0,0,6720.0,26.333333333333332,3.4221098050885286,84.0
4.0,5.0,1.0,89.0,0.0,0,4880.0,22.25,0.0,54.22222222222222
2.0,5.0,3.0,30.0,0.0,0,2044.0,15.0,0.0,65.93548387096774
2.0,5.0,1.0,68.0,3500.0,0,6200.0,34.0,0.5644250927269795,89.85507246376811
4.0,5.0,1.0,109.0,16800.0,0,16640.0,27.25,1.0095547142599604,151.27272727272728
3.0,5.0,1.0,112.0,0.0,0,3966.0,37.333333333333336,0.0,35.097345132743364
1.0,1.0,3.0,33.0,0.0,1,0.0,33.0,0.0,0.0
3.0,5.0,3.0,56.0,300.0,1,2354.0,18.666666666666668,0.12738853503184713,41.29824561403509
1.0,1.0,1.0,99.0,0.0,0,200.0,99.0,0.0,2.0
2.0,5.0,1.0,99.0,0.0,0,10132.0,49.5,0.0,101.32
4.0,5.0,1.0,86.0,16900.0,0,16537.0,21.5,1.0218889829483613,190.08045977011494
6.0,5.0,6.0,99.0,3000.0,0,10922.0,16.5,0.274649821477616,109.22
1.0,1.0,1.0,30.0,0.0,1,0.0,30.0,0.0,0.0
3.0,5.0,3.0,92.0,0.0,0,8250.0,30.666666666666668,0.0,88.70967741935483
3.0,5.0,1.0,99.0,21000.0,0,4680.0,33.0,4.486220892971588,46.8
3.0,5.0,1.0,82.0,3700.0,0,7706.0,27.333333333333332,0.4800830413909433,92.8433734939759
2.0,5.0,1.0,82.0,0.0,0,3420.0,41.0,0.0,41.204819277108435
1.0,1.0,1.0,139.0,0.0,0,120.0,139.0,0.0,0.8571428571428571
4.0,5.0,1.0,106.0,1308.0,0,9513.0,26.5,0.13748160605423587,88.90654205607477
2.0,5.0,2.0,155.0,17000.0,0,0.0,77.5,17000.0,0.0
1.0,1.0,1.0,82.0,6048.0,0,0.0,82.0,6048.0,0.0
1.0,1.0,1.0,82.0,0.0,0,1146.0,82.0,0.0,13.80722891566265
1.0,1.0,1.0,139.0,0.0,0,680.0,139.0,0.0,4.857142857142857
